sentiment_score,value,company
0.1,Integrity,Campbell Soup Company
-0.9,Performance,Campbell Soup Company
-1,Respect,Campbell Soup Company
-0.6,Agility,Capgemini
0.5,Collaboration,Capgemini
0.3,Customer,Capgemini
1.7,Diversity,Capgemini
-0.2,Execution,Capgemini
1.5,Innovation,Capgemini
-1.2,Integrity,Capgemini
-1.1,Performance,Capgemini
-1,Respect,Capgemini
-1.7,Agility,Capital Group
1,Collaboration,Capital Group
1.4,Customer,Capital Group
0.2,Diversity,Capital Group
-1.3,Execution,Capital Group
-0.6,Innovation,Capital Group
0.1,Integrity,Capital Group
0,Performance,Capital Group
0.9,Respect,Capital Group
-1.1,Agility,Capital One
0.1,Collaboration,Capital One
1,Customer,Capital One
0.6,Diversity,Capital One
-0.6,Execution,Capital One
2,Innovation,Capital One
-0.1,Integrity,Capital One
-1.1,Performance,Capital One
-0.8,Respect,Capital One
-0.8,Agility,Carnival
1,Collaboration,Carnival
0.2,Customer,Carnival
2.2,Diversity,Carnival
-0.4,Execution,Carnival
0.2,Innovation,Carnival
-1.1,Integrity,Carnival
-0.1,Performance,Carnival
-1,Respect,Carnival
-1.1,Agility,CBS Interactive
1,Collaboration,CBS Interactive
0.6,Customer,CBS Interactive
0.6,Diversity,CBS Interactive
0.4,Execution,CBS Interactive
1.6,Innovation,CBS Interactive
-1.2,Integrity,CBS Interactive
-1,Performance,CBS Interactive
-0.9,Respect,CBS Interactive
-0.5,Agility,CDK Global
1.1,Collaboration,CDK Global
-0.2,Customer,CDK Global
-0.1,Diversity,CDK Global
-0.3,Execution,CDK Global
2.2,Innovation,CDK Global
-1,Integrity,CDK Global
-0.1,Performance,CDK Global
-1.2,Respect,CDK Global
-1.1,Agility,CDW
0.7,Collaboration,CDW
1.1,Customer,CDW
-0.5,Diversity,CDW
0.1,Execution,CDW
2,Innovation,CDW
-0.8,Integrity,CDW
-0.9,Performance,CDW
-0.6,Respect,CDW
-0.2,Agility,Centene
-0.1,Collaboration,Centene
0.5,Customer,Centene
0.4,Diversity,Centene
-0.5,Execution,Centene
2.4,Innovation,Centene
-1,Integrity,Centene
-0.5,Performance,Centene
-1.1,Respect,Centene
-0.9,Agility,CenturyLink
0.9,Collaboration,CenturyLink
-0.1,Customer,CenturyLink
0.5,Diversity,CenturyLink
-0.1,Execution,CenturyLink
2.2,Innovation,CenturyLink
-0.8,Integrity,CenturyLink
-0.6,Performance,CenturyLink
-1.2,Respect,CenturyLink
-0.9,Agility,Ceridian
0.6,Collaboration,Ceridian
1.2,Customer,Ceridian
0.2,Diversity,Ceridian
-1.1,Execution,Ceridian
1.7,Innovation,Ceridian
0,Integrity,Ceridian
-0.1,Performance,Ceridian
-1.6,Respect,Ceridian
-0.4,Agility,Cerner
1,Collaboration,Cerner
0.3,Customer,Cerner
-0.4,Diversity,Cerner
-0.2,Execution,Cerner
2.3,Innovation,Cerner
-0.9,Integrity,Cerner
-1,Performance,Cerner
-0.8,Respect,Cerner
-0.9,Agility,CGI
1.2,Collaboration,CGI
0.3,Customer,CGI
1.1,Diversity,CGI
0.2,Execution,CGI
1.3,Innovation,CGI
-1.1,Integrity,CGI
-1.5,Performance,CGI
-0.7,Respect,CGI
-1.3,Agility,CH2M
0.2,Collaboration,CH2M
1,Customer,CH2M
0.8,Diversity,CH2M
-0.9,Execution,CH2M
1.9,Innovation,CH2M
-0.2,Integrity,CH2M
-0.7,Performance,CH2M
-0.7,Respect,CH2M
-1.3,Agility,Charles Schwab
0.6,Collaboration,Charles Schwab
1.7,Customer,Charles Schwab
0.5,Diversity,Charles Schwab
-1,Execution,Charles Schwab
-0.4,Innovation,Charles Schwab
1.3,Integrity,Charles Schwab
-0.5,Performance,Charles Schwab
-0.8,Respect,Charles Schwab
-0.3,Agility,Charter Communications
0.2,Collaboration,Charter Communications
-0.1,Customer,Charter Communications
0.6,Diversity,Charter Communications
-0.7,Execution,Charter Communications
2.4,Innovation,Charter Communications
-0.8,Integrity,Charter Communications
0,Performance,Charter Communications
-1.2,Respect,Charter Communications
-1,Agility,Chase
0.4,Collaboration,Chase
0.6,Customer,Chase
1.2,Diversity,Chase
-1,Execution,Chase
1.9,Innovation,Chase
-0.7,Integrity,Chase
-0.5,Performance,Chase
-0.9,Respect,Chase
-1.5,Agility,Chevron
0.5,Collaboration,Chevron
2,Customer,Chevron
0.9,Diversity,Chevron
-0.5,Execution,Chevron
-0.5,Innovation,Chevron
-0.2,Integrity,Chevron
-0.9,Performance,Chevron
0.3,Respect,Chevron
-1.1,Agility,Catholic Health Initiatives
0.6,Collaboration,Catholic Health Initiatives
1.7,Customer,Catholic Health Initiatives
1.5,Diversity,Catholic Health Initiatives
-1,Execution,Catholic Health Initiatives
-0.1,Innovation,Catholic Health Initiatives
-0.9,Integrity,Catholic Health Initiatives
0,Performance,Catholic Health Initiatives
-0.7,Respect,Catholic Health Initiatives
-0.7,Agility,Chick-fil-A
1.5,Collaboration,Chick-fil-A
1.3,Customer,Chick-fil-A
-0.6,Diversity,Chick-fil-A
-1.1,Execution,Chick-fil-A
1.3,Innovation,Chick-fil-A
-0.5,Integrity,Chick-fil-A
-0.6,Performance,Chick-fil-A
-0.7,Respect,Chick-fil-A
-0.6,Agility,Chipotle
1.7,Collaboration,Chipotle
0.8,Customer,Chipotle
-0.7,Diversity,Chipotle
-0.6,Execution,Chipotle
1.5,Innovation,Chipotle
-0.8,Integrity,Chipotle
-0.4,Performance,Chipotle
-1,Respect,Chipotle
-0.3,Agility,Choice Hotels
0.7,Collaboration,Choice Hotels
0.5,Customer,Choice Hotels
0.2,Diversity,Choice Hotels
-0.7,Execution,Choice Hotels
2.3,Innovation,Choice Hotels
-1.2,Integrity,Choice Hotels
-0.6,Performance,Choice Hotels
-0.9,Respect,Choice Hotels
-0.8,Agility,Community Health Systems
1.4,Collaboration,Community Health Systems
1.6,Customer,Community Health Systems
0.6,Diversity,Community Health Systems
-0.3,Execution,Community Health Systems
0.4,Innovation,Community Health Systems
-0.4,Integrity,Community Health Systems
-1.2,Performance,Community Health Systems
-1.3,Respect,Community Health Systems
-1.1,Agility,Chubb
0.8,Collaboration,Chubb
0.9,Customer,Chubb
1.9,Diversity,Chubb
-0.9,Execution,Chubb
-0.8,Innovation,Chubb
-0.2,Integrity,Chubb
0.3,Performance,Chubb
-0.9,Respect,Chubb
-1.1,Agility,Cigna
0.9,Collaboration,Cigna
1.1,Customer,Cigna
0.5,Diversity,Cigna
-0.8,Execution,Cigna
1.6,Innovation,Cigna
-0.7,Integrity,Cigna
-0.4,Performance,Cigna
-1.3,Respect,Cigna
-1.9,Agility,Cisco Systems
0.8,Collaboration,Cisco Systems
1,Customer,Cisco Systems
0.6,Diversity,Cisco Systems
-0.2,Execution,Cisco Systems
1.3,Innovation,Cisco Systems
-0.4,Integrity,Cisco Systems
-1.2,Performance,Cisco Systems
-0.1,Respect,Cisco Systems
-1.1,Agility,Citi
0.5,Collaboration,Citi
0,Customer,Citi
2.3,Diversity,Citi
-0.5,Execution,Citi
0.7,Innovation,Citi
-0.5,Integrity,Citi
-0.5,Performance,Citi
-1,Respect,Citi
-0.5,Agility,Citizens Bank
1,Collaboration,Citizens Bank
1.2,Customer,Citizens Bank
1.9,Diversity,Citizens Bank
-0.9,Execution,Citizens Bank
-0.4,Innovation,Citizens Bank
-0.8,Integrity,Citizens Bank
-0.7,Performance,Citizens Bank
-0.8,Respect,Citizens Bank
-1.1,Agility,Citrix
1.2,Collaboration,Citrix
-0.4,Customer,Citrix
1.4,Diversity,Citrix
-0.9,Execution,Citrix
1.5,Innovation,Citrix
-0.4,Integrity,Citrix
-0.9,Performance,Citrix
-0.4,Respect,Citrix
-1,Agility,Cleveland Clinic
0.5,Collaboration,Cleveland Clinic
0.7,Customer,Cleveland Clinic
1.4,Diversity,Cleveland Clinic
-0.5,Execution,Cleveland Clinic
1.6,Innovation,Cleveland Clinic
-0.9,Integrity,Cleveland Clinic
-0.9,Performance,Cleveland Clinic
-0.9,Respect,Cleveland Clinic
-1.8,Agility,The Clorox Company
1,Collaboration,The Clorox Company
1.1,Customer,The Clorox Company
0.8,Diversity,The Clorox Company
-0.6,Execution,The Clorox Company
-0.7,Innovation,The Clorox Company
0.9,Integrity,The Clorox Company
-0.9,Performance,The Clorox Company
0.2,Respect,The Clorox Company
-0.9,Agility,Coach
0.8,Collaboration,Coach
0.9,Customer,Coach
-0.3,Diversity,Coach
-0.9,Execution,Coach
2,Innovation,Coach
-1.3,Integrity,Coach
0.1,Performance,Coach
-0.4,Respect,Coach
-1.5,Agility,Coca-Cola Company
0.7,Collaboration,Coca-Cola Company
0.8,Customer,Coca-Cola Company
1.4,Diversity,Coca-Cola Company
-0.1,Execution,Coca-Cola Company
1.2,Innovation,Coca-Cola Company
-0.5,Integrity,Coca-Cola Company
-1.2,Performance,Coca-Cola Company
-0.8,Respect,Coca-Cola Company
-0.5,Agility,Cognizant
0.2,Collaboration,Cognizant
0.9,Customer,Cognizant
-0.3,Diversity,Cognizant
0.3,Execution,Cognizant
2.2,Innovation,Cognizant
-0.6,Integrity,Cognizant
-1,Performance,Cognizant
-1.1,Respect,Cognizant
-1.6,Agility,Colgate-Palmolive
0.9,Collaboration,Colgate-Palmolive
-0.3,Customer,Colgate-Palmolive
1.4,Diversity,Colgate-Palmolive
-0.9,Execution,Colgate-Palmolive
-0.4,Innovation,Colgate-Palmolive
1.1,Integrity,Colgate-Palmolive
-0.9,Performance,Colgate-Palmolive
0.7,Respect,Colgate-Palmolive
-1.9,Agility,Collins Aerospace
0.1,Collaboration,Collins Aerospace
0.1,Customer,Collins Aerospace
0.3,Diversity,Collins Aerospace
-0.5,Execution,Collins Aerospace
1.4,Innovation,Collins Aerospace
1.6,Integrity,Collins Aerospace
-0.6,Performance,Collins Aerospace
-0.4,Respect,Collins Aerospace
-0.6,Agility,Comcast
0.2,Collaboration,Comcast
-0.4,Customer,Comcast
0.7,Diversity,Comcast
-0.6,Execution,Comcast
2.5,Innovation,Comcast
-0.9,Integrity,Comcast
-0.2,Performance,Comcast
-0.6,Respect,Comcast
-1.1,Agility,Comerica
1.4,Collaboration,Comerica
0.6,Customer,Comerica
1.9,Diversity,Comerica
-0.1,Execution,Comerica
-0.9,Innovation,Comerica
-0.5,Integrity,Comerica
-0.6,Performance,Comerica
-0.7,Respect,Comerica
-0.2,Agility,CompuCom
0,Collaboration,CompuCom
0.3,Customer,CompuCom
0.2,Diversity,CompuCom
0.5,Execution,CompuCom
2.3,Innovation,CompuCom
-1,Integrity,CompuCom
-0.9,Performance,CompuCom
-1.3,Respect,CompuCom
-0.8,Agility,Conagra Brands
0.8,Collaboration,Conagra Brands
1.2,Customer,Conagra Brands
0.2,Diversity,Conagra Brands
0,Execution,Conagra Brands
1.6,Innovation,Conagra Brands
-1.6,Integrity,Conagra Brands
-0.3,Performance,Conagra Brands
-1.1,Respect,Conagra Brands
-0.1,Agility,Conduent
1.1,Collaboration,Conduent
-0.4,Customer,Conduent
0.6,Diversity,Conduent
-0.5,Execution,Conduent
1.9,Innovation,Conduent
-1.4,Integrity,Conduent
-0.2,Performance,Conduent
-1.1,Respect,Conduent
-1.1,Agility,ConocoPhillips
0.4,Collaboration,ConocoPhillips
1.4,Customer,ConocoPhillips
-0.5,Diversity,ConocoPhillips
-0.2,Execution,ConocoPhillips
1.9,Innovation,ConocoPhillips
-0.8,Integrity,ConocoPhillips
-1.1,Performance,ConocoPhillips
0.1,Respect,ConocoPhillips
-0.9,Agility,Convergys
0.7,Collaboration,Convergys
0.3,Customer,Convergys
1.7,Diversity,Convergys
-1,Execution,Convergys
0.9,Innovation,Convergys
-1.1,Integrity,Convergys
0.5,Performance,Convergys
-1.2,Respect,Convergys
-0.9,Agility,Costco Wholesale
1.6,Collaboration,Costco Wholesale
2,Customer,Costco Wholesale
-0.2,Diversity,Costco Wholesale
-1.1,Execution,Costco Wholesale
-0.4,Innovation,Costco Wholesale
0.2,Integrity,Costco Wholesale
-0.6,Performance,Costco Wholesale
-0.5,Respect,Costco Wholesale
-1.1,Agility,Covidien
0.1,Collaboration,Covidien
2.1,Customer,Covidien
-0.3,Diversity,Covidien
0.3,Execution,Covidien
1.2,Innovation,Covidien
-0.5,Integrity,Covidien
-0.6,Performance,Covidien
-1.1,Respect,Covidien
-1.2,Agility,Cox Communications
1.1,Collaboration,Cox Communications
-0.5,Customer,Cox Communications
2.1,Diversity,Cox Communications
-1,Execution,Cox Communications
0.3,Innovation,Cox Communications
-0.6,Integrity,Cox Communications
-0.4,Performance,Cox Communications
0.1,Respect,Cox Communications
-1.3,Agility,Credit Suisse
1.2,Collaboration,Credit Suisse
1.2,Customer,Credit Suisse
1.1,Diversity,Credit Suisse
-0.9,Execution,Credit Suisse
0.9,Innovation,Credit Suisse
-0.9,Integrity,Credit Suisse
-0.8,Performance,Credit Suisse
-0.4,Respect,Credit Suisse
-1.2,Agility,CSAA Insurance Group
0.1,Collaboration,CSAA Insurance Group
1.3,Customer,CSAA Insurance Group
1.7,Diversity,CSAA Insurance Group
-0.8,Execution,CSAA Insurance Group
-0.1,Innovation,CSAA Insurance Group
0.4,Integrity,CSAA Insurance Group
0,Performance,CSAA Insurance Group
-1.4,Respect,CSAA Insurance Group
-0.7,Agility,CSC
0.8,Collaboration,CSC
0.5,Customer,CSC
1.4,Diversity,CSC
0.3,Execution,CSC
1.2,Innovation,CSC
-1.2,Integrity,CSC
-1.1,Performance,CSC
-1.1,Respect,CSC
-1.4,Agility,Cummins
0.5,Collaboration,Cummins
0.7,Customer,Cummins
2,Diversity,Cummins
-0.6,Execution,Cummins
0,Innovation,Cummins
0.5,Integrity,Cummins
-1.3,Performance,Cummins
-0.4,Respect,Cummins
-0.6,Agility,CVS Health
1.2,Collaboration,CVS Health
0.5,Customer,CVS Health
0.5,Diversity,CVS Health
-0.9,Execution,CVS Health
1.8,Innovation,CVS Health
-1,Integrity,CVS Health
-0.6,Performance,CVS Health
-1,Respect,CVS Health
-0.5,Agility,Dairy Queen
1.5,Collaboration,Dairy Queen
2,Customer,Dairy Queen
-0.1,Diversity,Dairy Queen
-0.4,Execution,Dairy Queen
-1,Innovation,Dairy Queen
-0.2,Integrity,Dairy Queen
-1,Performance,Dairy Queen
-0.4,Respect,Dairy Queen
-0.2,Agility,Danaher
-0.5,Collaboration,Danaher
-1.4,Customer,Danaher
1.4,Diversity,Danaher
1.3,Execution,Danaher
-0.8,Innovation,Danaher
-0.5,Integrity,Danaher
1.4,Performance,Danaher
-0.6,Respect,Danaher
-0.9,Agility,DaVita
1.5,Collaboration,DaVita
1.6,Customer,DaVita
-0.7,Diversity,DaVita
-0.4,Execution,DaVita
1.1,Innovation,DaVita
-0.8,Integrity,DaVita
-0.5,Performance,DaVita
-0.8,Respect,DaVita
-1.4,Agility,Dell
0.4,Collaboration,Dell
0.7,Customer,Dell
1.6,Diversity,Dell
-0.3,Execution,Dell
1.1,Innovation,Dell
-0.3,Integrity,Dell
-0.5,Performance,Dell
-1.4,Respect,Dell
-0.8,Agility,Deloitte
0.5,Collaboration,Deloitte
0.5,Customer,Deloitte
1.4,Diversity,Deloitte
-0.4,Execution,Deloitte
1.7,Innovation,Deloitte
-1,Integrity,Deloitte
-1,Performance,Deloitte
-1,Respect,Deloitte
-1.4,Agility,Delta Air Lines
1.2,Collaboration,Delta Air Lines
1.7,Customer,Delta Air Lines
0.8,Diversity,Delta Air Lines
-0.9,Execution,Delta Air Lines
0,Innovation,Delta Air Lines
-1.1,Integrity,Delta Air Lines
-0.1,Performance,Delta Air Lines
-0.3,Respect,Delta Air Lines
-1,Agility,Deutsche Bank
0.4,Collaboration,Deutsche Bank
1.2,Customer,Deutsche Bank
1.9,Diversity,Deutsche Bank
-0.6,Execution,Deutsche Bank
0.6,Innovation,Deutsche Bank
-0.9,Integrity,Deutsche Bank
-0.6,Performance,Deutsche Bank
-1,Respect,Deutsche Bank
-0.6,Agility,Diebold Nixdorf
1,Collaboration,Diebold Nixdorf
0.1,Customer,Diebold Nixdorf
0.9,Diversity,Diebold Nixdorf
0.2,Execution,Diebold Nixdorf
1.8,Innovation,Diebold Nixdorf
-1.3,Integrity,Diebold Nixdorf
-1,Performance,Diebold Nixdorf
-1,Respect,Diebold Nixdorf
-0.9,Agility,Dignity Health
1.2,Collaboration,Dignity Health
1.4,Customer,Dignity Health
1,Diversity,Dignity Health
-1.1,Execution,Dignity Health
0.7,Innovation,Dignity Health
-1.3,Integrity,Dignity Health
-0.7,Performance,Dignity Health
-0.4,Respect,Dignity Health
-0.6,Agility,Dillard's
-0.6,Collaboration,Dillard's
1.6,Customer,Dillard's
-0.3,Diversity,Dillard's
-0.6,Execution,Dillard's
1.8,Innovation,Dillard's
-1,Integrity,Dillard's
0.6,Performance,Dillard's
-0.9,Respect,Dillard's
-1.2,Agility,Discover
0.7,Collaboration,Discover
1.5,Customer,Discover
1.4,Diversity,Discover
-1.2,Execution,Discover
0.4,Innovation,Discover
-0.5,Integrity,Discover
-0.2,Performance,Discover
-1,Respect,Discover
-1,Agility,"Discovery, Inc. "
1.2,Collaboration,"Discovery, Inc. "
0.8,Customer,"Discovery, Inc. "
0.6,Diversity,"Discovery, Inc. "
-0.2,Execution,"Discovery, Inc. "
1.5,Innovation,"Discovery, Inc. "
-1.5,Integrity,"Discovery, Inc. "
-0.4,Performance,"Discovery, Inc. "
-1,Respect,"Discovery, Inc. "
-0.4,Agility,Dish Network
0.2,Collaboration,Dish Network
0,Customer,Dish Network
-0.3,Diversity,Dish Network
-0.5,Execution,Dish Network
2.6,Innovation,Dish Network
-1,Integrity,Dish Network
0.3,Performance,Dish Network
-0.9,Respect,Dish Network
-1.2,Agility,The Walt Disney Company
0.5,Collaboration,The Walt Disney Company
1.3,Customer,The Walt Disney Company
1.3,Diversity,The Walt Disney Company
-0.5,Execution,The Walt Disney Company
1.1,Innovation,The Walt Disney Company
-0.8,Integrity,The Walt Disney Company
-0.9,Performance,The Walt Disney Company
-0.9,Respect,The Walt Disney Company
-1,Agility,"Disney Parks, Experiences and Products"
0.4,Collaboration,"Disney Parks, Experiences and Products"
1.3,Customer,"Disney Parks, Experiences and Products"
1.2,Diversity,"Disney Parks, Experiences and Products"
-0.5,Execution,"Disney Parks, Experiences and Products"
1.4,Innovation,"Disney Parks, Experiences and Products"
-1,Integrity,"Disney Parks, Experiences and Products"
-0.8,Performance,"Disney Parks, Experiences and Products"
-1,Respect,"Disney Parks, Experiences and Products"
-0.4,Agility,Dollar General
1.1,Collaboration,Dollar General
1.9,Customer,Dollar General
0,Diversity,Dollar General
-0.8,Execution,Dollar General
0.9,Innovation,Dollar General
-1,Integrity,Dollar General
-0.4,Performance,Dollar General
-1.2,Respect,Dollar General
-0.6,Agility,Dollar Tree
0.5,Collaboration,Dollar Tree
1.3,Customer,Dollar Tree
-0.4,Diversity,Dollar Tree
-0.8,Execution,Dollar Tree
2.1,Innovation,Dollar Tree
-0.8,Integrity,Dollar Tree
-0.4,Performance,Dollar Tree
-0.9,Respect,Dollar Tree
0,Agility,Domino's
1.6,Collaboration,Domino's
0.8,Customer,Domino's
-0.2,Diversity,Domino's
-0.8,Execution,Domino's
1.4,Innovation,Domino's
-1.3,Integrity,Domino's
-0.4,Performance,Domino's
-1.1,Respect,Domino's
0.2,Agility,DoorDash
1.8,Collaboration,DoorDash
-0.3,Customer,DoorDash
-0.5,Diversity,DoorDash
1.7,Execution,DoorDash
-0.2,Innovation,DoorDash
-1.2,Integrity,DoorDash
-0.8,Performance,DoorDash
-0.7,Respect,DoorDash
-1.1,Agility,Dow Chemical Company
1.5,Collaboration,Dow Chemical Company
-1.7,Customer,Dow Chemical Company
1,Diversity,Dow Chemical Company
0.3,Execution,Dow Chemical Company
1,Innovation,Dow Chemical Company
0.3,Integrity,Dow Chemical Company
-0.9,Performance,Dow Chemical Company
-0.4,Respect,Dow Chemical Company
-1.1,Agility,Dow Jones
0.8,Collaboration,Dow Jones
0.4,Customer,Dow Jones
0,Diversity,Dow Jones
-0.1,Execution,Dow Jones
1.7,Innovation,Dow Jones
0.6,Integrity,Dow Jones
-1.9,Performance,Dow Jones
-0.5,Respect,Dow Jones
-0.3,Agility,Dr Pepper Snapple Group
0.4,Collaboration,Dr Pepper Snapple Group
-0.6,Customer,Dr Pepper Snapple Group
0.8,Diversity,Dr Pepper Snapple Group
1.7,Execution,Dr Pepper Snapple Group
-0.6,Innovation,Dr Pepper Snapple Group
-1.7,Integrity,Dr Pepper Snapple Group
1,Performance,Dr Pepper Snapple Group
-0.7,Respect,Dr Pepper Snapple Group
-0.5,Agility,DunkinÅf
1.2,Collaboration,DunkinÅf
1.4,Customer,DunkinÅf
-0.6,Diversity,DunkinÅf
-1,Execution,DunkinÅf
1.4,Innovation,DunkinÅf
-1,Integrity,DunkinÅf
0.2,Performance,DunkinÅf
-1.1,Respect,DunkinÅf
-1.6,Agility,DuPont
0.7,Collaboration,DuPont
-1,Customer,DuPont
1.3,Diversity,DuPont
-0.6,Execution,DuPont
0.8,Innovation,DuPont
0.5,Integrity,DuPont
-1,Performance,DuPont
1,Respect,DuPont
-0.7,Agility,DXC Technology
0.6,Collaboration,DXC Technology
-0.3,Customer,DXC Technology
1,Diversity,DXC Technology
0.5,Execution,DXC Technology
2,Innovation,DXC Technology
-1,Integrity,DXC Technology
-0.9,Performance,DXC Technology
-1.1,Respect,DXC Technology
-0.5,Agility,E-Trade Financial
1.6,Collaboration,E-Trade Financial
0.6,Customer,E-Trade Financial
-1.2,Diversity,E-Trade Financial
-0.9,Execution,E-Trade Financial
1.3,Innovation,E-Trade Financial
-0.2,Integrity,E-Trade Financial
0.5,Performance,E-Trade Financial
-1.2,Respect,E-Trade Financial
-1,Agility,Electronic Arts
0.4,Collaboration,Electronic Arts
1,Customer,Electronic Arts
1.5,Diversity,Electronic Arts
-0.1,Execution,Electronic Arts
1,Innovation,Electronic Arts
-1.4,Integrity,Electronic Arts
-0.1,Performance,Electronic Arts
-1.3,Respect,Electronic Arts
-1.7,Agility,Eaton
0.9,Collaboration,Eaton
0.3,Customer,Eaton
1,Diversity,Eaton
-0.8,Execution,Eaton
0.1,Innovation,Eaton
1.5,Integrity,Eaton
-0.9,Performance,Eaton
-0.5,Respect,Eaton
-1.1,Agility,eBay
0.6,Collaboration,eBay
0.7,Customer,eBay
1.7,Diversity,eBay
-0.5,Execution,eBay
1.3,Innovation,eBay
-0.9,Integrity,eBay
-0.7,Performance,eBay
-1,Respect,eBay
-1,Agility,Edward Jones
1.1,Collaboration,Edward Jones
1.5,Customer,Edward Jones
-0.3,Diversity,Edward Jones
1.3,Execution,Edward Jones
-1.4,Innovation,Edward Jones
0,Integrity,Edward Jones
-0.5,Performance,Edward Jones
-0.6,Respect,Edward Jones
-1,Agility,Edwards Lifesciences
-0.4,Collaboration,Edwards Lifesciences
2.3,Customer,Edwards Lifesciences
-0.3,Diversity,Edwards Lifesciences
-0.5,Execution,Edwards Lifesciences
1.2,Innovation,Edwards Lifesciences
0,Integrity,Edwards Lifesciences
-0.6,Performance,Edwards Lifesciences
-0.7,Respect,Edwards Lifesciences
-1.8,Agility,Eli Lilly and Company
0.4,Collaboration,Eli Lilly and Company
2,Customer,Eli Lilly and Company
-0.2,Diversity,Eli Lilly and Company
-0.5,Execution,Eli Lilly and Company
-0.3,Innovation,Eli Lilly and Company
0.6,Integrity,Eli Lilly and Company
-0.6,Performance,Eli Lilly and Company
0.6,Respect,Eli Lilly and Company
-1.6,Agility,Dell EMC
0.4,Collaboration,Dell EMC
1,Customer,Dell EMC
0.8,Diversity,Dell EMC
0.2,Execution,Dell EMC
1.6,Innovation,Dell EMC
-1.3,Integrity,Dell EMC
-0.3,Performance,Dell EMC
-0.7,Respect,Dell EMC
-1.7,Agility,Emerson
0.5,Collaboration,Emerson
1.6,Customer,Emerson
-0.8,Diversity,Emerson
-0.1,Execution,Emerson
0.7,Innovation,Emerson
1.1,Integrity,Emerson
-1,Performance,Emerson
-0.4,Respect,Emerson
-0.5,Agility,Enterprise
1.9,Collaboration,Enterprise
0.7,Customer,Enterprise
-0.5,Diversity,Enterprise
-0.1,Execution,Enterprise
-0.4,Innovation,Enterprise
-1.2,Integrity,Enterprise
1.2,Performance,Enterprise
-1,Respect,Enterprise
-1,Agility,Equifax
0.5,Collaboration,Equifax
-0.4,Customer,Equifax
1.1,Diversity,Equifax
0.2,Execution,Equifax
2.1,Innovation,Equifax
-0.9,Integrity,Equifax
-0.5,Performance,Equifax
-1,Respect,Equifax
-1.4,Agility,Ericsson
0.2,Collaboration,Ericsson
-0.4,Customer,Ericsson
2,Diversity,Ericsson
-0.1,Execution,Ericsson
1.4,Innovation,Ericsson
-0.6,Integrity,Ericsson
-0.8,Performance,Ericsson
-0.2,Respect,Ericsson
-0.7,Agility,ESPN
0.9,Collaboration,ESPN
-1.1,Customer,ESPN
0.4,Diversity,ESPN
-0.2,Execution,ESPN
2.3,Innovation,ESPN
-0.6,Integrity,ESPN
-0.3,Performance,ESPN
-0.7,Respect,ESPN
-1,Agility,EstÃ©e Lauder Companies
0.1,Collaboration,EstÃ©e Lauder Companies
1.9,Customer,EstÃ©e Lauder Companies
0.7,Diversity,EstÃ©e Lauder Companies
-0.9,Execution,EstÃ©e Lauder Companies
1.3,Innovation,EstÃ©e Lauder Companies
-0.4,Integrity,EstÃ©e Lauder Companies
-0.6,Performance,EstÃ©e Lauder Companies
-0.9,Respect,EstÃ©e Lauder Companies
-0.8,Agility,Expedia
0.9,Collaboration,Expedia
-0.6,Customer,Expedia
1.1,Diversity,Expedia
-0.1,Execution,Expedia
1.9,Innovation,Expedia
-0.7,Integrity,Expedia
-1.1,Performance,Expedia
-0.7,Respect,Expedia
-1,Agility,Expeditors
1.7,Collaboration,Expeditors
1.5,Customer,Expeditors
-1.2,Diversity,Expeditors
-1.1,Execution,Expeditors
0.2,Innovation,Expeditors
0.1,Integrity,Expeditors
0.3,Performance,Expeditors
-0.5,Respect,Expeditors
-1.4,Agility,Experian
0.5,Collaboration,Experian
0.4,Customer,Experian
2,Diversity,Experian
-0.7,Execution,Experian
1,Innovation,Experian
-0.7,Integrity,Experian
-0.3,Performance,Experian
-0.9,Respect,Experian
-1.7,Agility,ExxonMobil
0.2,Collaboration,ExxonMobil
1.8,Customer,ExxonMobil
0.1,Diversity,ExxonMobil
0,Execution,ExxonMobil
0.8,Innovation,ExxonMobil
0.7,Integrity,ExxonMobil
-1.1,Performance,ExxonMobil
-0.8,Respect,ExxonMobil
-1,Agility,EY
1,Collaboration,EY
0.8,Customer,EY
1.8,Diversity,EY
-0.5,Execution,EY
0.6,Innovation,EY
-1,Integrity,EY
-1.1,Performance,EY
-0.6,Respect,EY
-0.9,Agility,Facebook
0.3,Collaboration,Facebook
-0.4,Customer,Facebook
0,Diversity,Facebook
1.1,Execution,Facebook
2.2,Innovation,Facebook
-0.5,Integrity,Facebook
-1.2,Performance,Facebook
-0.6,Respect,Facebook
-0.3,Agility,Family Dollar
0.8,Collaboration,Family Dollar
1.7,Customer,Family Dollar
-0.4,Diversity,Family Dollar
-0.9,Execution,Family Dollar
1.1,Innovation,Family Dollar
-1.2,Integrity,Family Dollar
-0.1,Performance,Family Dollar
-0.9,Respect,Family Dollar
-1.1,Agility,Farmers Insurance Group
0.9,Collaboration,Farmers Insurance Group
1.6,Customer,Farmers Insurance Group
1.3,Diversity,Farmers Insurance Group
-0.3,Execution,Farmers Insurance Group
0.2,Innovation,Farmers Insurance Group
-1,Integrity,Farmers Insurance Group
-0.4,Performance,Farmers Insurance Group
-1.1,Respect,Farmers Insurance Group
-0.7,Agility,Fastenal
0.2,Collaboration,Fastenal
1.3,Customer,Fastenal
-0.8,Diversity,Fastenal
0.4,Execution,Fastenal
2,Innovation,Fastenal
