sentiment_score,value,company
-0.5,Respect,Albertsons
-1.5,Agility,Alcatel-Lucent
0.2,Collaboration,Alcatel-Lucent
0.9,Customer,Alcatel-Lucent
1.3,Diversity,Alcatel-Lucent
-0.2,Execution,Alcatel-Lucent
1.3,Innovation,Alcatel-Lucent
-1.1,Integrity,Alcatel-Lucent
-1.1,Performance,Alcatel-Lucent
0.1,Respect,Alcatel-Lucent
-1.2,Agility,Alcon
1.1,Collaboration,Alcon
1,Customer,Alcon
1.6,Diversity,Alcon
-0.5,Execution,Alcon
0.5,Innovation,Alcon
-0.9,Integrity,Alcon
-0.6,Performance,Alcon
-1,Respect,Alcon
-0.3,Agility,Aldi
2.4,Collaboration,Aldi
0.8,Customer,Aldi
-1,Diversity,Aldi
-0.1,Execution,Aldi
-0.9,Innovation,Aldi
-0.2,Integrity,Aldi
0.1,Performance,Aldi
-0.9,Respect,Aldi
-1.3,Agility,Allergan
0.8,Collaboration,Allergan
0.6,Customer,Allergan
1,Diversity,Allergan
-0.6,Execution,Allergan
1.3,Innovation,Allergan
-0.8,Integrity,Allergan
0.6,Performance,Allergan
-1.5,Respect,Allergan
-0.3,Agility,Allscripts
-0.5,Collaboration,Allscripts
0,Customer,Allscripts
0.6,Diversity,Allscripts
-0.1,Execution,Allscripts
2.5,Innovation,Allscripts
-0.7,Integrity,Allscripts
-0.6,Performance,Allscripts
-1,Respect,Allscripts
-1.3,Agility,Allstate
1.2,Collaboration,Allstate
0.9,Customer,Allstate
0.9,Diversity,Allstate
-0.4,Execution,Allstate
1.3,Innovation,Allstate
-0.6,Integrity,Allstate
-1.1,Performance,Allstate
-1,Respect,Allstate
-0.6,Agility,Ally Financial
0.8,Collaboration,Ally Financial
0.9,Customer,Ally Financial
0.9,Diversity,Ally Financial
-0.7,Execution,Ally Financial
1.7,Innovation,Ally Financial
-1.1,Integrity,Ally Financial
-0.7,Performance,Ally Financial
-1.2,Respect,Ally Financial
-1.7,Agility,Alphabet (Parent company of Google)
0.5,Collaboration,Alphabet (Parent company of Google)
-0.1,Customer,Alphabet (Parent company of Google)
0.3,Diversity,Alphabet (Parent company of Google)
0.5,Execution,Alphabet (Parent company of Google)
2.1,Innovation,Alphabet (Parent company of Google)
-0.7,Integrity,Alphabet (Parent company of Google)
-0.8,Performance,Alphabet (Parent company of Google)
-0.1,Respect,Alphabet (Parent company of Google)
-0.1,Agility,Amazon
-0.3,Collaboration,Amazon
0.9,Customer,Amazon
0.2,Diversity,Amazon
0,Execution,Amazon
2.2,Innovation,Amazon
-1,Integrity,Amazon
-0.7,Performance,Amazon
-1.3,Respect,Amazon
-1.4,Agility,AMD
0.8,Collaboration,AMD
-0.6,Customer,AMD
-0.1,Diversity,AMD
-0.4,Execution,AMD
1.9,Innovation,AMD
-0.7,Integrity,AMD
-0.6,Performance,AMD
1.1,Respect,AMD
-0.8,Agility,Amdocs
0.5,Collaboration,Amdocs
1.1,Customer,Amdocs
1,Diversity,Amdocs
-0.1,Execution,Amdocs
1.5,Innovation,Amdocs
-1,Integrity,Amdocs
-1.3,Performance,Amdocs
-0.9,Respect,Amdocs
-0.8,Agility,Amedisys
1.6,Collaboration,Amedisys
1.3,Customer,Amedisys
-0.2,Diversity,Amedisys
-0.4,Execution,Amedisys
1.1,Innovation,Amedisys
-0.8,Integrity,Amedisys
-0.3,Performance,Amedisys
-1.4,Respect,Amedisys
-0.9,Agility,American Airlines
1,Collaboration,American Airlines
0.2,Customer,American Airlines
1.8,Diversity,American Airlines
-0.7,Execution,American Airlines
1.1,Innovation,American Airlines
-0.6,Integrity,American Airlines
-0.6,Performance,American Airlines
-1.2,Respect,American Airlines
-0.9,Agility,American Eagle Outfitters
1.2,Collaboration,American Eagle Outfitters
1.2,Customer,American Eagle Outfitters
0.4,Diversity,American Eagle Outfitters
-1,Execution,American Eagle Outfitters
1.4,Innovation,American Eagle Outfitters
-0.9,Integrity,American Eagle Outfitters
-0.2,Performance,American Eagle Outfitters
-1.2,Respect,American Eagle Outfitters
-1.7,Agility,American Express
0.6,Collaboration,American Express
1.7,Customer,American Express
1.2,Diversity,American Express
-0.8,Execution,American Express
0.3,Innovation,American Express
-0.1,Integrity,American Express
-0.6,Performance,American Express
-0.6,Respect,American Express
-1.5,Agility,Ameriprise Financial
0,Collaboration,Ameriprise Financial
1.8,Customer,Ameriprise Financial
-0.4,Diversity,Ameriprise Financial
-0.7,Execution,Ameriprise Financial
1.4,Innovation,Ameriprise Financial
0.5,Integrity,Ameriprise Financial
-0.6,Performance,Ameriprise Financial
-0.6,Respect,Ameriprise Financial
-0.8,Agility,American Family Insurance
0.8,Collaboration,American Family Insurance
1.5,Customer,American Family Insurance
0.2,Diversity,American Family Insurance
-0.7,Execution,American Family Insurance
1.6,Innovation,American Family Insurance
-0.5,Integrity,American Family Insurance
-1.1,Performance,American Family Insurance
-1,Respect,American Family Insurance
-1.3,Agility,Amgen
0.6,Collaboration,Amgen
1.3,Customer,Amgen
0.7,Diversity,Amgen
-0.7,Execution,Amgen
1.6,Innovation,Amgen
-0.4,Integrity,Amgen
-0.6,Performance,Amgen
-1.2,Respect,Amgen
-1.1,Agility,Ann Inc.
1.3,Collaboration,Ann Inc.
0.8,Customer,Ann Inc.
0.6,Diversity,Ann Inc.
-0.3,Execution,Ann Inc.
1.4,Innovation,Ann Inc.
-1,Integrity,Ann Inc.
-0.4,Performance,Ann Inc.
-1.3,Respect,Ann Inc.
-1.1,Agility,Anthem
0.2,Collaboration,Anthem
0.7,Customer,Anthem
1.8,Diversity,Anthem
-0.7,Execution,Anthem
1.1,Innovation,Anthem
-0.1,Integrity,Anthem
-0.8,Performance,Anthem
-1.3,Respect,Anthem
-0.2,Agility,Anthropologie
1.6,Collaboration,Anthropologie
1.3,Customer,Anthropologie
0,Diversity,Anthropologie
-0.9,Execution,Anthropologie
1.1,Innovation,Anthropologie
-0.9,Integrity,Anthropologie
-0.9,Performance,Anthropologie
-1.1,Respect,Anthropologie
-1.2,Agility,Aon
0.8,Collaboration,Aon
1.7,Customer,Aon
0.3,Diversity,Aon
-0.2,Execution,Aon
1.2,Innovation,Aon
-1.3,Integrity,Aon
-0.5,Performance,Aon
-0.8,Respect,Aon
-0.7,Agility,Apple
0.7,Collaboration,Apple
0.2,Customer,Apple
1.3,Diversity,Apple
-0.7,Execution,Apple
1.9,Innovation,Apple
-0.9,Integrity,Apple
-0.6,Performance,Apple
-1,Respect,Apple
-1.2,Agility,Applied Materials
-0.2,Collaboration,Applied Materials
0.5,Customer,Applied Materials
0.8,Diversity,Applied Materials
-0.9,Execution,Applied Materials
2.2,Innovation,Applied Materials
-0.2,Integrity,Applied Materials
-0.3,Performance,Applied Materials
-0.9,Respect,Applied Materials
-0.4,Agility,Apria Healthcare
1,Collaboration,Apria Healthcare
-0.3,Customer,Apria Healthcare
0.7,Diversity,Apria Healthcare
-0.5,Execution,Apria Healthcare
1.6,Innovation,Apria Healthcare
-1.3,Integrity,Apria Healthcare
0.7,Performance,Apria Healthcare
-1.5,Respect,Apria Healthcare
-0.5,Agility,ArbyÅfs
0.5,Collaboration,ArbyÅfs
0.9,Customer,Arby's
-0.7,Diversity,Arby's
-0.6,Execution,Arby's
2.3,Innovation,Arby's
-0.6,Integrity,Arby's
-0.4,Performance,Arby's
-0.9,Respect,Arby's
-0.7,Agility,Arrow Electronics
1,Collaboration,Arrow Electronics
0.9,Customer,Arrow Electronics
0,Diversity,Arrow Electronics
-0.6,Execution,Arrow Electronics
1.9,Innovation,Arrow Electronics
-1.3,Integrity,Arrow Electronics
-0.3,Performance,Arrow Electronics
-0.9,Respect,Arrow Electronics
-1.1,Agility,Ascension 
1.5,Collaboration,Ascension 
0.8,Customer,Ascension 
-0.3,Diversity,Ascension 
-1,Execution,Ascension 
1.5,Innovation,Ascension 
-0.3,Integrity,Ascension 
0,Performance,Ascension 
-1.1,Respect,Ascension 
-1.2,Agility,AstraZeneca
0.4,Collaboration,AstraZeneca
1.9,Customer,AstraZeneca
0.1,Diversity,AstraZeneca
-0.6,Execution,AstraZeneca
1,Innovation,AstraZeneca
0.3,Integrity,AstraZeneca
-1.2,Performance,AstraZeneca
-0.7,Respect,AstraZeneca
-0.6,Agility,Asurion
0.3,Collaboration,Asurion
-0.1,Customer,Asurion
0.3,Diversity,Asurion
-0.8,Execution,Asurion
2.3,Innovation,Asurion
-1.1,Integrity,Asurion
0.6,Performance,Asurion
-0.9,Respect,Asurion
-0.7,Agility,AT&T
0.3,Collaboration,AT&T
-0.2,Customer,AT&T
1.2,Diversity,AT&T
-0.6,Execution,AT&T
2.2,Innovation,AT&T
-0.8,Integrity,AT&T
-0.4,Performance,AT&T
-0.8,Respect,AT&T
-1,Agility,Atrium Health
1.3,Collaboration,Atrium Health
1,Customer,Atrium Health
0.8,Diversity,Atrium Health
-0.9,Execution,Atrium Health
1.3,Innovation,Atrium Health
-0.7,Integrity,Atrium Health
-0.7,Performance,Atrium Health
-1.1,Respect,Atrium Health
-1.2,Agility,Autodesk
-0.5,Collaboration,Autodesk
0,Customer,Autodesk
0.6,Diversity,Autodesk
-0.5,Execution,Autodesk
2.5,Innovation,Autodesk
-0.5,Integrity,Autodesk
0,Performance,Autodesk
-0.4,Respect,Autodesk
-0.9,Agility,Avis Budget Group
1.2,Collaboration,Avis Budget Group
1.3,Customer,Avis Budget Group
0.5,Diversity,Avis Budget Group
-0.2,Execution,Avis Budget Group
-0.5,Innovation,Avis Budget Group
-1.8,Integrity,Avis Budget Group
1,Performance,Avis Budget Group
-0.5,Respect,Avis Budget Group
-0.7,Agility,Avnet
1.7,Collaboration,Avnet
1.4,Customer,Avnet
-0.3,Diversity,Avnet
-0.2,Execution,Avnet
0.3,Innovation,Avnet
0.4,Integrity,Avnet
-1.2,Performance,Avnet
-1.4,Respect,Avnet
-1.2,Agility,Avon Products
0.5,Collaboration,Avon Products
-0.4,Customer,Avon Products
2.1,Diversity,Avon Products
-0.1,Execution,Avon Products
1.1,Innovation,Avon Products
-0.3,Integrity,Avon Products
-0.9,Performance,Avon Products
-0.8,Respect,Avon Products
-1.2,Agility,Bain & Company
2.1,Collaboration,Bain & Company
0.1,Customer,Bain & Company
0.4,Diversity,Bain & Company
-0.8,Execution,Bain & Company
-0.8,Innovation,Bain & Company
-0.6,Integrity,Bain & Company
-0.4,Performance,Bain & Company
1,Respect,Bain & Company
-1,Agility,Baker Hughes
-0.1,Collaboration,Baker Hughes
-0.3,Customer,Baker Hughes
1.9,Diversity,Baker Hughes
